geoid,population,median_hh_income,poverty_total,poverty_below,total_households,snap_households
48201230200,5269.0,37500.0,5233.0,1533.0,1902.0,620.0
48201230500,3566.0,34103.0,3537.0,1139.0,1289.0,216.0
48201230600,3076.0,44265.0,3076.0,601.0,950.0,206.0
48201230700,3446.0,41715.0,3446.0,1276.0,1119.0,412.0
48201230800,2351.0,41083.0,2351.0,757.0,839.0,248.0
48201232402,4646.0,49375.0,4625.0,1310.0,1301.0,455.0
48201232403,4018.0,54475.0,4018.0,916.0,1345.0,294.0
48201254300,5272.0,48010.0,5272.0,1281.0,1668.0,374.0
48201254400,2594.0,49583.0,2594.0,652.0,997.0,183.0
48201254600,3419.0,54306.0,3419.0,420.0,1277.0,479.0
48201310200,2129.0,132929.0,2129.0,274.0,1331.0,202.0
48201310300,4058.0,32368.0,3958.0,702.0,2106.0,360.0
48201332600,6387.0,45870.0,6139.0,1244.0,2240.0,501.0
48201432501,3587.0,44900.0,3568.0,1181.0,1574.0,303.0
48201433005,2088.0,42159.0,2088.0,625.0,809.0,326.0
48201433007,1720.0,42127.0,1720.0,568.0,531.0,118.0
48201451502,2747.0,51818.0,2747.0,321.0,1506.0,255.0
48201451603,3324.0,113167.0,3301.0,364.0,1460.0,52.0
48201452402,3887.0,66250.0,3887.0,593.0,1239.0,238.0
48201452501,2500.0,34915.0,2479.0,585.0,820.0,357.0
48201453201,3969.0,36822.0,3969.0,1682.0,1530.0,409.0
48201454600,5446.0,42829.0,5332.0,1398.0,2199.0,29.0
48201454700,7588.0,148118.0,7588.0,310.0,2377.0,30.0
48201522500,5510.0,250001.0,5510.0,53.0,1666.0,23.0
48201532502,5785.0,66204.0,5785.0,1247.0,1779.0,294.0
48201533100,8754.0,61139.0,8754.0,2401.0,2362.0,441.0
48201533200,3688.0,38393.0,3643.0,1159.0,1485.0,389.0
48201533500,4225.0,54091.0,4225.0,893.0,1240.0,112.0
48201533600,5377.0,46293.0,5377.0,1554.0,1637.0,344.0
48201550500,6391.0,58533.0,6329.0,1296.0,1936.0,397.0
48201220100,1524.0,50417.0,1524.0,237.0,568.0,181.0
48201220200,2405.0,66167.0,2405.0,681.0,744.0,125.0
48201221502,2953.0,35636.0,2953.0,887.0,930.0,253.0
48201231400,3699.0,49535.0,3644.0,816.0,1327.0,233.0
48201232304,7403.0,39548.0,7234.0,2639.0,2317.0,700.0
48201233003,2790.0,68393.0,2790.0,282.0,801.0,207.0
48201233101,4399.0,53390.0,4323.0,957.0,1371.0,358.0
48201241202,5511.0,69647.0,5511.0,1046.0,1647.0,159.0
48201250101,3983.0,74023.0,3983.0,389.0,1351.0,143.0
48201250202,2312.0,53650.0,2312.0,730.0,747.0,80.0
48201252700,5593.0,64291.0,5593.0,1196.0,1985.0,221.0
48201311702,1917.0,32614.0,1917.0,810.0,681.0,154.0
48201313201,1632.0,47698.0,1632.0,454.0,822.0,209.0
48201320500,4097.0,71406.0,4097.0,336.0,1270.0,221.0
48201333905,3448.0,68250.0,3411.0,352.0,1059.0,139.0
48201411302,3086.0,89246.0,3086.0,236.0,2235.0,0.0
48201431101,5640.0,83615.0,5640.0,610.0,2842.0,118.0
48201431102,4034.0,63037.0,3994.0,696.0,2114.0,95.0
48201432901,3688.0,44750.0,3688.0,1384.0,1193.0,231.0
48201433003,5476.0,45979.0,5450.0,1271.0,2055.0,729.0
48201433201,3925.0,42956.0,3852.0,859.0,1643.0,249.0
48201433202,3666.0,58911.0,3666.0,649.0,1263.0,103.0
48201454505,2472.0,163033.0,2472.0,121.0,898.0,23.0
48201510803,2515.0,109842.0,2515.0,168.0,1606.0,0.0
48201521502,2899.0,78409.0,2899.0,488.0,1002.0,194.0
48201521800,4557.0,77584.0,4549.0,301.0,1681.0,141.0
48201521900,7366.0,90903.0,7291.0,1063.0,2644.0,114.0
48201530200,4156.0,147083.0,4156.0,778.0,1693.0,11.0
48201530300,2393.0,94444.0,2393.0,169.0,968.0,139.0
48201532700,5389.0,77628.0,5389.0,611.0,1818.0,286.0
48201542800,8846.0,83201.0,8817.0,1181.0,2721.0,165.0
48201550404,6260.0,90863.0,6241.0,263.0,2065.0,386.0
48201550902,4531.0,91157.0,4531.0,101.0,1321.0,395.0
48201551602,4671.0,54507.0,4474.0,515.0,1552.0,111.0
48201551902,4690.0,55333.0,4690.0,769.0,2140.0,526.0
48201552004,3265.0,54811.0,3238.0,639.0,1633.0,314.0
48201552102,5959.0,79773.0,5959.0,761.0,2316.0,281.0
48201553602,2398.0,59081.0,2398.0,293.0,1172.0,42.0
48201554002,4623.0,185224.0,4623.0,110.0,1533.0,0.0
48201555600,9965.0,145680.0,9795.0,1234.0,2860.0,44.0
48201223001,4050.0,69821.0,4050.0,908.0,1067.0,210.0
48201250500,5469.0,70617.0,5469.0,508.0,2201.0,124.0
48201253700,6116.0,58083.0,5790.0,872.0,2125.0,287.0
48201253800,7805.0,51898.0,7805.0,2097.0,2885.0,508.0
48201253900,4042.0,77132.0,4019.0,530.0,1523.0,234.0
48201254000,3662.0,51618.0,3639.0,900.0,1540.0,362.0
48201254100,6168.0,67619.0,6092.0,1355.0,1882.0,398.0
48201320601,2104.0,36291.0,2104.0,813.0,751.0,157.0
48201330303,4734.0,54203.0,4734.0,619.0,2103.0,224.0
48201331602,3337.0,67520.0,3337.0,490.0,1223.0,181.0
48201334003,5903.0,70917.0,5903.0,1731.0,2211.0,283.0
48201341302,3368.0,78671.0,3368.0,170.0,2016.0,167.0
48201341501,6275.0,79452.0,6275.0,458.0,2624.0,112.0
48201341502,5013.0,88125.0,5013.0,164.0,2364.0,43.0
48201343301,4540.0,97161.0,4540.0,820.0,1528.0,124.0
48201350601,3863.0,97700.0,3863.0,259.0,1638.0,135.0
48201350801,4785.0,82731.0,4785.0,345.0,2267.0,129.0
48201431401,2729.0,83304.0,2729.0,289.0,1506.0,0.0
48201432804,2011.0,62216.0,2011.0,392.0,828.0,93.0
48201453202,5057.0,52971.0,5023.0,1691.0,1540.0,688.0
48201454303,3949.0,69040.0,3838.0,159.0,1204.0,112.0
48201511301,5065.0,165743.0,5065.0,397.0,2542.0,95.0
48201532800,2314.0,71494.0,2314.0,369.0,626.0,87.0
48201532900,5094.0,41808.0,5094.0,1686.0,1616.0,446.0
48201533000,2525.0,32093.0,2525.0,980.0,1020.0,359.0
48201540502,5191.0,96141.0,5191.0,282.0,1623.0,175.0
48201541203,2482.0,112098.0,2422.0,180.0,963.0,46.0
48201542500,3885.0,67258.0,3885.0,453.0,1822.0,117.0
48201542600,6165.0,100461.0,6062.0,470.0,2195.0,288.0
48201542700,4903.0,82321.0,4903.0,317.0,1818.0,71.0
48201552602,8045.0,68064.0,7901.0,758.0,3202.0,152.0
48201553102,5005.0,81773.0,4830.0,403.0,1460.0,320.0
48201553401,4462.0,112465.0,4437.0,402.0,1427.0,72.0
48201553801,2642.0,129226.0,2492.0,147.0,905.0,34.0
48201554702,4383.0,124167.0,4383.0,305.0,1610.0,29.0
48201554803,7984.0,142257.0,7968.0,577.0,2890.0,377.0
48201554806,2078.0,116006.0,2078.0,89.0,749.0,0.0
48201556100,3763.0,147292.0,3639.0,156.0,1233.0,55.0
48201980200,9542.0,84514.0,160.0,38.0,145.0,4.0
48201980400,4285.0,,0.0,0.0,0.0,0.0
48201222401,3332.0,45565.0,3317.0,833.0,849.0,201.0
48201222402,7310.0,48260.0,7301.0,2399.0,2035.0,644.0
48201222501,3447.0,54353.0,3447.0,763.0,877.0,146.0
48201241103,5775.0,90789.0,5775.0,598.0,2093.0,174.0
48201251000,3410.0,71615.0,3410.0,418.0,1557.0,113.0
48201251501,6877.0,150962.0,6877.0,139.0,2082.0,19.0
48201310500,3409.0,42122.0,3409.0,779.0,1464.0,277.0
48201321402,4867.0,60307.0,4863.0,748.0,1367.0,187.0
48201323701,4269.0,52310.0,3886.0,271.0,1664.0,432.0
48201330301,7924.0,71852.0,7924.0,1560.0,2199.0,319.0
48201334001,2880.0,48286.0,2879.0,433.0,1092.0,247.0
48201340302,6889.0,147031.0,6889.0,346.0,2515.0,0.0
48201341201,5291.0,71359.0,5050.0,449.0,2330.0,431.0
